기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,NASDAQ,GlobalFoundries Inc,GFS,0,44.48,-6.5,27.4,24.1,20.5,41.3,-1.64,
2026-03-31,NYSE,Merck & Co Inc,MRK,0,120.29,-2.9,14.3,43.3,34.0,41.3,0.48,
2026-03-31,NASDAQ,Viatris Inc,VTRS,0,13.51,-9.5,8.5,36.5,55.1,40.8,-0.52,
2026-03-31,NYSE,Johnson & Johnson,JNJ,0,244.44,-1.6,18.1,31.8,47.4,40.7,-0.57,
2026-03-31,NYSE,Howmet Aerospace Inc,HWM,0,230.46,-12.2,12.4,17.4,77.6,40.3,0.96,
2026-03-31,NASDAQ,Vodafone Group PLC ADR,VOD,0,15.02,-2.2,13.7,29.5,60.3,38.9,1.26,
2026-03-31,NYSE,Barrick Mining Corp,B,0,40.79,-19.6,-6.3,24.5,109.8,38.9,2.08,
2026-03-31,NYSE,EOG Resources Inc,EOG,0,144.57,16.5,37.7,28.9,12.7,38.9,-1.33,
2026-03-31,NASDAQ,Equinix Inc,EQIX,0,980.24,0.6,27.9,25.2,20.2,38.7,2.05,
2026-03-31,NASDAQ,ON Semiconductor Corp,ON,0,61.92,-6.9,14.3,25.6,52.2,38.1,0.44,
2026-03-31,NYSE,Deere & Co,DE,0,563.3,-10.5,21.0,23.2,20.0,37.7,2.2,
2026-03-31,NYSE,Cummins Inc,CMI,0,538.02,-7.9,5.4,27.4,71.7,36.3,2.17,
2026-03-31,NYSE,L3Harris Technologies Inc,LHX,0,345.15,-5.3,17.6,13.0,64.9,36.2,3.14,
2026-03-31,NYSE,Corteva Inc,CTVA,0,83.71,4.5,24.9,23.8,33.0,36.2,2.09,
2026-03-31,NYSE,Shell PLC ADR,SHEL,0,93.0,11.4,26.6,30.0,26.9,36.0,0.11,
2026-03-31,NYSE,GSK plc ADR,GSK,0,55.19,-6.7,12.5,27.9,42.5,35.8,2.72,
