연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2020,5,2020-05-29,210,KOSPI,한국가스공사,036460,-12.81,29850,10.76,6.23,-20.19,-27.72,-12.2
2020,5,2020-05-29,211,KOSPI,HDC현대산업개발,294870,-13.79,19950,5.84,10.53,-22.18,-49.79,5.8
2020,5,2020-05-29,212,KOSDAQ,에스에프에이,056190,-13.91,35400,1.29,-3.67,-17.0,-11.06,-7.6
2020,5,2020-05-29,213,KOSPI,LG,003550,-13.92,59608,1.77,-6.52,-11.13,-13.92,12.8
2020,5,2020-05-29,214,KOSDAQ,하림지주,003380,-13.99,7100,10.94,0.57,-9.21,-38.26,-4.9
2020,5,2020-05-29,215,KOSPI,미래에셋대우,006800,-14.93,6143,9.99,-2.68,-14.66,-17.29,8.1
2020,5,2020-05-29,216,KOSPI,팬오션,028670,-15.13,3575,3.77,-4.28,-14.88,-17.53,6.9
2020,5,2020-05-29,217,KOSPI,SK이노베이션,096770,-15.41,116598,20.55,4.87,-19.11,-28.18,10.5
2020,5,2020-05-29,218,KOSPI,LG전자,066570,-15.55,59300,8.01,-1.82,-15.16,-24.55,6.6
2020,5,2020-05-29,219,KOSPI,현대건설,000720,-15.6,33276,-2.43,-1.44,-16.48,-33.46,-3.4
2020,5,2020-05-29,220,KOSPI,한온시스템,018880,-15.6,9053,6.68,-7.68,-9.82,-16.04,-7.0
2020,5,2020-05-29,221,KOSPI,영원무역,111770,-15.75,30650,12.89,-2.7,-13.78,-20.6,-17.1
2020,5,2020-05-29,222,KOSDAQ,신라젠,215600,-15.86,7757,-3.96,9.02,-16.55,-78.0,0.0
2020,5,2020-05-29,223,KOSPI,현대중공업지주,267250,-16.05,54100,11.32,0.0,-21.82,-14.4,-9.1
2020,5,2020-05-29,224,KOSDAQ,상상인,038540,-16.11,7630,-2.55,-1.55,-6.95,-59.56,-19.5
2020,5,2020-05-29,225,KOSDAQ,한국아트라스비엑스,023890,-16.24,45700,-6.92,-5.48,-13.77,-31.79,-1.4
2020,5,2020-05-29,226,KOSPI,DB손해보험,005830,-16.4,43400,-1.7,0.23,-22.08,-29.43,-1.3
2020,5,2020-05-29,227,KOSDAQ,위닉스,044340,-16.5,21000,12.6,-8.89,-11.39,-5.83,-5.7
2020,5,2020-05-29,228,KOSPI,메리츠금융지주,138040,-16.91,10050,1.21,-1.47,-19.6,-28.47,-6.5
2020,5,2020-05-29,229,KOSPI,대우건설,047040,-16.98,3830,7.58,-5.43,-14.13,-20.29,-10.4
2020,5,2020-05-29,230,KOSDAQ,GS홈쇼핑,028150,-17.44,119300,-6.58,-3.79,-20.2,-28.13,-8.5
2020,5,2020-05-29,231,KOSPI,하나금융지주,086790,-17.76,29750,7.79,-5.25,-16.78,-18.04,-9.2
2020,5,2020-05-29,232,KOSPI,한화솔루션,009830,-18.17,19530,11.0,-9.52,-7.98,-21.79,19.2
2020,5,2020-05-29,233,KOSDAQ,서부T&D,006730,-18.24,5726,18.62,-2.22,-18.34,-17.86,-2.1
2020,5,2020-05-29,234,KOSPI,NH투자증권,005940,-18.44,9730,0.41,-2.51,-21.53,-27.93,-15.0
2020,5,2020-05-29,235,KOSPI,현대모비스,012330,-18.94,198000,15.12,-5.71,-19.18,-8.76,-3.0
2020,5,2020-05-29,236,KOSPI,메리츠화재,000060,-18.97,14550,5.05,-1.02,-20.92,-33.41,-13.1
2020,5,2020-05-29,237,KOSPI,대웅제약,069620,-18.99,102500,-4.21,-2.38,-22.64,-33.01,29.3
2020,5,2020-05-29,238,KOSDAQ,에이치엘비생명과학,067630,-19.37,8592,-2.64,-17.23,-20.27,20.12,0.5
2020,5,2020-05-29,239,KOSDAQ,현대바이오,048410,-19.69,5159,1.86,0.47,-24.49,-37.25,21.0
2020,5,2020-05-29,240,KOSDAQ,CJ ENM,035760,-19.7,121000,-5.39,-3.82,-20.71,-36.85,-8.8
2020,5,2020-05-29,241,KOSDAQ,파라다이스,034230,-20.29,14500,-7.94,-11.59,-22.87,-5.84,-7.9
2020,5,2020-05-29,242,KOSPI,기아차,000270,-20.51,34250,15.51,-5.52,-20.81,-12.96,-6.4
2020,5,2020-05-29,243,KOSPI,코웨이,021240,-20.57,66600,8.47,-3.34,-25.67,-16.85,8.4
2020,5,2020-05-29,244,KOSPI,대우조선해양,042660,-20.69,19367,27.11,-1.58,-17.27,-26.85,24.1
2020,5,2020-05-29,245,KOSPI,현대위아,011210,-20.72,37400,13.85,-2.73,-29.7,-4.59,-7.6
2020,5,2020-05-29,246,KOSPI,POSCO,005490,-21.05,181000,-1.9,-7.42,-21.48,-23.79,-3.9
2020,5,2020-05-29,247,KOSPI,한국항공우주,047810,-21.43,25350,-1.17,-1.17,-32.04,-23.53,-6.3
2020,5,2020-05-29,248,KOSPI,대한항공,003490,-21.71,13422,4.54,-7.18,-16.36,-34.39,0.2
2020,5,2020-05-29,249,KOSPI,현대백화점,069960,-21.8,64000,-11.97,-9.73,-23.08,-24.35,-12.0
2020,5,2020-05-29,250,KOSPI,메리츠증권,008560,-21.84,3285,0.46,-5.47,-22.71,-30.11,-7.8
2020,5,2020-05-29,251,KOSPI,아모레G,002790,-21.84,57800,-0.52,-6.77,-28.82,-10.6,-10.7
2020,5,2020-05-29,252,KOSPI,GS,078930,-22.0,37700,-2.2,-8.61,-21.21,-24.75,-3.8
2020,5,2020-05-29,253,KOSPI,삼성화재,000810,-22.71,182500,-4.2,-7.83,-21.51,-32.66,-3.6
2020,5,2020-05-29,254,KOSPI,우리금융지주,316140,-23.48,9130,8.18,-4.99,-21.97,-34.32,-3.5
2020,5,2020-05-29,255,KOSPI,삼성카드,029780,-23.67,29550,-1.5,-12.31,-20.35,-19.7,-7.4
2020,5,2020-05-29,256,KOSPI,만도,204320,-23.95,26650,12.68,-10.57,-23.31,-6.49,-16.1
2020,5,2020-05-29,257,KOSDAQ,이녹스첨단소재,272290,-24.33,18145,1.78,-10.66,-21.99,-22.3,20.0
2020,5,2020-05-29,258,KOSDAQ,오스템임플란트,048260,-24.39,264550,-5.17,-4.0,-21.9,-56.36,-3.5
2020,5,2020-05-29,259,KOSPI,휠라홀딩스,081660,-24.88,38450,10.49,0.13,-25.48,-50.71,-8.7
2020,5,2020-05-29,260,KOSPI,현대미포조선,010620,-25.15,34000,10.57,-6.21,-24.44,-29.24,-7.9
2020,5,2020-05-29,261,KOSDAQ,텔콘RF제약,200230,-25.69,11890,-11.97,-1.45,-39.34,-36.27,18.1
2020,5,2020-05-29,262,KOSPI,한미약품,128940,-26.08,219933,-8.49,-9.2,-24.47,-40.92,2.7
2020,5,2020-05-29,263,KOSPI,삼성증권,016360,-26.49,27950,-7.14,-15.56,-22.58,-20.93,-5.7
2020,5,2020-05-29,264,KOSPI,신한지주,055550,-26.88,30150,-1.31,-6.66,-30.77,-32.17,-4.6
2020,5,2020-05-29,265,KOSPI,KB금융,105560,-27.2,34000,-2.16,-12.6,-26.17,-22.37,-0.1
2020,5,2020-05-29,266,KOSPI,현대글로비스,086280,-27.32,56522,11.33,-8.13,-24.92,-30.46,-10.2
2020,5,2020-05-29,267,KOSPI,현대차,005380,-27.7,98000,4.7,-14.78,-19.01,-27.14,-0.3
2020,5,2020-05-29,268,KOSPI,KCC,002380,-28.11,143500,-13.03,-13.81,-24.68,-36.65,-7.3
2020,5,2020-05-29,269,KOSPI,롯데쇼핑,023530,-28.34,89000,-10.82,-6.51,-32.83,-44.38,-10.7
2020,5,2020-05-29,270,KOSDAQ,파트론,091700,-28.44,8550,6.34,-4.47,-27.85,-48.34,3.5
2020,5,2020-05-29,271,KOSPI,현대차우,005385,-28.45,56300,-1.05,-15.08,-21.91,-28.19,-2.1
2020,5,2020-05-29,272,KOSPI,한국조선해양,009540,-28.82,90800,9.79,-12.69,-24.33,-22.72,-3.7
2020,5,2020-05-29,273,KOSPI,한화에어로스페이스,012450,-29.52,24752,-9.67,-11.64,-36.8,-18.73,1.2
2020,5,2020-05-29,274,KOSDAQ,에스엠,041510,-29.66,26000,-6.14,-8.61,-32.29,-39.25,-6.7
2020,5,2020-05-29,275,KOSPI,한국타이어앤테크놀로지,161390,-29.84,23450,10.35,-8.04,-29.47,-33.0,5.1
2020,5,2020-05-29,276,KOSPI,두산중공업,034020,-30.19,3795,7.14,-14.57,-21.61,-31.51,12.9
2020,5,2020-05-29,277,KOSPI,한화생명,088350,-30.21,1525,-15.28,-7.58,-33.41,-52.49,-10.8
2020,5,2020-05-29,278,KOSPI,한미사이언스,008930,-31.26,25931,-4.02,-7.57,-28.24,-59.43,21.3
2020,5,2020-05-29,279,KOSPI,이노션,214320,-31.46,25850,-11.32,-23.63,-19.47,-25.4,-13.5
2020,5,2020-05-29,280,KOSPI,두산밥캣,241560,-31.48,23700,0.85,-16.55,-24.28,-29.67,11.0
