기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,KOSPI,OCI홀딩스,010060,37303,187800,23.6,63.0,112.4,190.3,31.94,71.95,134.93,132.9,6.39,
2026-03-31,KOSDAQ,서진시스템,178320,25091,42500,-10.6,68.0,99.1,106.8,87.94,122.72,131.39,130.6,0.24,120.0
2026-03-31,KOSPI,삼성전자,005930,11632088,167200,-22.8,39.4,99.3,189.3,80.57,158.05,274.57,130.4,17.52,61.0
2026-03-31,KOSPI,두산,000150,169873,1026000,-19.7,31.4,89.6,250.8,63.64,136.23,336.92,129.9,2.24,153.0
2026-03-31,KOSDAQ,티에스이,131290,12189,105700,21.5,83.5,98.3,120.7,51.04,63.23,81.63,129.3,4.26,81.0
2026-03-31,KOSPI,현대지에프홀딩스,005440,21000,13750,-14.1,65.3,71.2,168.0,92.31,99.25,211.89,128.5,-2.04,
2026-03-31,KOSDAQ,선익시스템,171090,8328,83800,-36.0,59.6,79.6,113.5,149.52,180.81,233.76,128.2,-1.55,
2026-03-31,KOSPI,현대오토에버,307950,101468,358500,-28.4,8.0,134.8,200.5,50.9,228.09,319.95,128.1,3.21,28.0
2026-03-31,KOSPI,에이피알,278470,119053,337000,7.8,45.9,34.8,382.8,35.28,25.0,347.71,126.8,-5.64,69.0
2026-03-31,KOSDAQ,펄어비스,263750,36878,69000,28.7,84.5,94.6,130.0,43.32,51.2,78.67,126.5,-16.81,
2026-03-31,KOSDAQ,제주반도체,080220,13053,35100,-31.0,33.2,94.0,180.4,93.17,181.37,306.55,125.2,7.98,34.0
2026-03-31,KOSDAQ,리노공업,058470,83604,94400,-11.1,56.6,83.3,150.6,76.12,106.21,181.97,122.6,16.21,
2026-03-31,KOSDAQ,대주전자재료,078600,17608,126100,25.2,98.6,91.1,52.1,58.58,52.58,21.47,122.2,-10.07,262.0
2026-03-31,KOSDAQ,씨아이에스,222080,9131,11600,-21.0,74.4,79.0,60.4,120.9,126.7,103.18,121.7,1.21,
2026-03-31,KOSDAQ,오름테라퓨틱,475830,16285,86000,-34.0,-28.3,156.7,243.3,8.58,288.96,420.16,121.4,-10.81,16.0
2026-03-31,KOSPI,삼성SDI,006400,367872,408000,-12.4,51.4,99.0,121.1,72.91,127.32,152.51,121.1,11.89,116.0
2026-03-31,KOSPI,이수스페셜티케미컬,457190,28556,89300,-22.5,50.8,92.2,110.4,94.59,148.01,171.38,120.1,5.82,45.0
2026-03-31,KOSDAQ,보로노이,310210,50237,307000,-8.2,41.1,88.9,189.1,53.79,105.85,214.97,119.3,-11.07,93.0
2026-03-31,KOSPI,키움증권,039490,107336,410500,-11.9,41.8,67.6,223.5,60.97,90.2,267.22,117.9,-0.24,64.0
2026-03-31,KOSPI,일진전기,103590,34810,69500,-22.3,27.8,96.9,179.1,64.52,153.54,259.44,117.6,5.04,141.0
2026-03-31,KOSDAQ,코오롱티슈진,950160,83136,106700,-0.3,34.0,123.0,138.7,34.42,123.62,139.37,116.6,-7.4,27.0
2026-03-31,KOSPI,효성티앤씨,298020,16856,379000,-10.9,70.3,77.1,74.7,91.24,98.83,96.08,115.2,2.77,
2026-03-31,KOSDAQ,유진테크,084370,27522,110700,-17.4,47.6,58.4,190.2,78.67,91.7,251.25,114.0,8.49,70.0
2026-03-31,KOSDAQ,케어젠,214370,44046,90800,-33.6,26.5,45.3,262.5,90.53,118.88,446.11,113.1,-9.69,35.0
2026-03-31,KOSDAQ,에스앤에스텍,101490,16833,75900,-23.1,57.1,53.5,142.1,104.35,99.6,214.83,112.4,3.95,72.0
2026-03-31,KOSDAQ,삼현,437730,14474,45000,-25.0,-18.5,87.9,342.9,8.7,150.52,490.55,110.2,1.44,10.0
2026-03-31,KOSDAQ,에이프릴바이오,397030,11904,54500,-24.5,-0.7,76.4,300.1,31.51,133.66,430.1,109.9,-6.42,36.0
2026-03-31,KOSDAQ,에이비엘바이오,298380,86108,165900,-14.5,-17.0,79.5,381.6,-3.0,109.96,463.13,109.7,-7.29,24.0
2026-03-31,KOSPI,엘앤에프,066970,74601,143900,14.5,51.2,93.7,140.6,32.04,69.18,110.2,108.6,28.56,156.0
2026-03-31,KOSDAQ,디앤디파마텍,347850,29611,67800,-26.6,-26.1,34.8,489.6,0.65,83.7,703.55,107.7,-0.29,30.0
2026-03-31,KOSDAQ,이오테크닉스,039030,50756,384500,-8.1,41.4,65.0,190.0,53.86,79.61,215.61,107.7,7.15,
2026-03-31,KOSPI,두산에너빌리티,034020,607892,91800,-13.6,21.9,46.4,291.5,41.17,69.54,353.3,105.9,3.38,115.0
2026-03-31,KOSPI,HD현대,267250,186818,239000,-18.3,26.8,53.8,229.7,55.17,88.22,303.45,103.4,-1.05,110.0
2026-03-31,KOSDAQ,쏠리드,050890,8761,12630,50.2,71.4,101.8,98.0,14.11,34.35,31.82,102.5,14.17,
2026-03-31,KOSDAQ,하림지주,003380,14605,13550,-16.2,27.5,84.6,142.4,52.02,120.16,189.09,100.8,-3.76,
2026-03-31,KOSDAQ,티씨케이,064760,24874,228500,1.8,60.7,30.6,187.1,57.88,28.29,182.04,100.4,-2.63,
2026-03-31,KOSDAQ,태성,323280,15910,50600,-35.9,13.7,93.9,104.4,77.53,202.68,219.19,96.8,2.96,23.0
2026-03-31,KOSDAQ,인벤티지랩,389470,8218,65500,-30.0,-22.2,41.0,385.2,11.16,101.51,593.33,94.8,-5.5,44.0
2026-03-31,KOSPI,한국항공우주,047810,181596,164700,-14.0,44.0,52.5,119.6,67.4,77.31,155.33,92.3,13.11,67.0
2026-03-31,KOSPI,롯데에너지머티리얼즈,020150,23826,41400,-7.4,35.5,83.2,84.4,46.32,97.79,99.11,90.6,9.9,
2026-03-31,KOSDAQ,LS머트리얼즈,417200,12860,17620,0.2,44.7,83.7,65.6,44.33,83.32,65.23,90.6,7.89,150.0
2026-03-31,KOSDAQ,성일하이텍,365340,8161,59700,-5.2,46.0,68.2,84.8,54.03,77.46,95.05,90.4,11.39,85.0
2026-03-31,KOSPI,NH투자증권,005940,108863,29600,-16.6,40.3,52.4,111.1,68.25,82.8,153.21,89.0,3.21,145.0
2026-03-31,KOSPI,대한전선,001440,52484,26700,-25.8,16.6,72.0,133.6,57.21,131.96,214.96,88.9,5.43,105.0
2026-03-31,KOSPI,가온전선,000500,16708,97500,-17.7,18.3,76.0,136.7,43.81,113.9,187.62,88.8,3.59,
2026-03-31,KOSDAQ,온코닉테라퓨틱스,476060,8721,21050,-10.4,7.7,63.5,224.5,20.2,82.52,262.26,88.0,-7.7,41.0
2026-03-31,KOSPI,신영증권,001720,30364,184400,-18.2,37.5,39.3,145.5,68.16,70.32,200.27,87.9,0.16,144.0
2026-03-31,KOSDAQ,에코프로비엠,247540,197128,192200,-13.2,31.1,70.1,99.8,51.09,96.02,130.25,86.5,4.84,
2026-03-31,KOSPI,한국금융지주,071050,118696,202500,-21.7,25.2,39.7,177.4,59.86,78.28,254.11,86.3,5.19,123.0
2026-03-31,KOSDAQ,엘앤씨바이오,290650,15902,67300,-31.7,10.1,24.6,234.8,61.37,82.59,390.55,83.3,-4.9,37.0
2026-03-31,KOSPI,LS,006260,81588,256000,-10.0,28.1,53.3,143.3,42.32,70.36,170.44,82.8,2.15,165.0
2026-03-31,KOSDAQ,레인보우로보틱스,277810,105729,521000,-39.4,10.7,68.6,97.3,82.78,178.32,225.76,82.1,4.61,55.0
2026-03-31,KOSPI,한화,000880,86577,107100,-21.6,31.2,26.6,161.5,67.4,61.47,233.58,81.4,7.84,117.0
2026-03-31,KOSPI,한화솔루션,009830,63858,37150,-29.9,38.6,30.1,101.8,97.76,85.64,187.89,81.3,0.0,257.0
2026-03-31,KOSPI,롯데쇼핑,023530,29448,108200,0.5,49.2,52.8,78.5,48.55,52.12,77.72,81.3,-3.79,
2026-03-31,KOSPI,효성,004800,23603,128500,-24.0,12.0,51.4,168.0,47.34,99.06,252.45,80.9,9.73,86.0
2026-03-31,KOSPI,한올바이오파마,009420,24030,55300,-10.4,26.4,68.3,101.5,41.03,87.82,124.77,80.8,-16.82,125.0
2026-03-31,KOSPI,신세계,004170,29996,300500,-18.5,21.7,60.6,119.2,49.19,96.95,168.78,80.7,3.49,65.0
2026-03-31,KOSDAQ,SFA반도체,036540,10344,5990,-24.2,30.9,46.3,99.0,72.68,92.92,162.46,79.8,5.01,57.0
2026-03-31,KOSDAQ,하나머티리얼즈,166090,10976,60900,-2.4,41.3,51.7,97.7,44.78,55.42,102.6,79.6,-8.87,
2026-03-31,KOSPI,HDC,012630,15592,27750,12.6,48.3,59.5,86.4,31.75,41.67,65.55,79.4,-5.95,
2026-03-31,KOSPI,삼성생명,032830,444000,210500,-8.5,33.6,34.4,153.9,45.94,46.87,177.44,79.1,5.46,131.0
2026-03-31,KOSDAQ,테스,095610,12080,55400,-24.7,24.4,28.2,155.3,65.21,70.37,239.17,77.0,12.64,38.0
2026-03-31,KOSPI,한화비전,489790,36048,71000,-16.9,58.1,33.7,25.2,90.2,60.83,50.62,76.8,0.56,187.0
2026-03-31,KOSPI,DL이앤씨,375500,29252,66800,30.7,62.3,59.4,60.6,24.18,21.96,22.84,76.3,13.17,
2026-03-31,KOSPI,에스엘,005850,25175,55400,-24.5,29.3,63.4,44.5,71.3,116.52,91.4,76.3,-2.17,100.0
2026-03-31,KOSPI,S-Oil,010950,129245,105300,-4.3,26.9,68.8,87.7,32.53,76.28,96.08,75.5,9.02,102.0
2026-03-31,KOSPI,DN오토모티브,007340,20156,38150,40.3,56.4,67.0,85.2,11.48,19.04,32.04,75.5,-9.7,
2026-03-31,KOSPI,영원무역홀딩스,009970,27740,219000,-12.2,14.4,57.9,144.7,30.29,79.88,178.77,75.5,-6.16,91.0
2026-03-31,KOSPI,대신증권,003540,18329,35250,-21.4,30.6,33.5,117.3,66.11,69.89,176.51,75.4,2.41,
2026-03-31,KOSPI,HD현대일렉트릭,267260,321179,832000,-20.8,7.5,43.0,184.9,35.66,80.41,259.59,74.8,7.09,130.0
2026-03-31,KOSPI,한국카본,017960,22164,38850,-7.3,30.2,18.8,186.9,40.37,28.13,209.45,74.5,9.91,
2026-03-31,KOSPI,SK,034730,226570,301000,-24.9,17.3,43.3,132.3,56.34,90.95,209.41,74.5,3.82,108.0
2026-03-31,KOSDAQ,레이크머티리얼즈,281740,12659,19510,-17.5,32.3,59.5,40.7,60.34,93.38,70.51,72.5,-1.28,63.0
2026-03-31,KOSPI,삼성E&A,028050,93688,35700,-1.9,48.4,33.2,80.5,51.35,35.82,84.02,72.4,33.89,179.0
2026-03-31,KOSDAQ,솔브레인,357780,29675,364000,-18.3,38.9,26.2,93.0,70.04,54.42,136.21,72.0,4.81,
2026-03-31,KOSDAQ,메디포스트,078160,7688,21200,-3.4,16.5,55.8,141.7,20.67,61.28,150.29,71.2,-7.5,78.0
2026-03-31,KOSPI,더존비즈온,012510,36261,119100,0.6,39.1,34.0,116.2,38.32,33.18,114.88,71.2,0.17,181.0
2026-03-31,KOSDAQ,에스티팜,237690,28534,144600,-5.1,21.3,61.6,100.6,27.77,70.17,111.23,70.5,-5.26,
2026-03-31,KOSPI,한화생명,088350,38215,4430,-10.6,36.1,40.9,74.1,52.23,57.55,94.7,69.4,-0.68,209.0
2026-03-31,KOSDAQ,태광,023160,10592,35000,24.3,61.3,35.7,69.5,29.72,9.11,36.32,68.6,17.0,224.0
2026-03-31,KOSPI,포스코인터내셔널,047050,134932,71500,-1.0,44.2,47.6,45.2,45.56,49.02,46.6,68.6,7.27,186.0
2026-03-31,KOSDAQ,코오롱생명과학,102940,7121,56600,-11.3,9.5,67.5,103.2,23.4,88.76,129.08,67.6,-3.89,49.0
2026-03-31,KOSDAQ,고영,098460,17953,24450,-23.2,6.8,69.2,80.0,39.08,120.42,134.54,67.6,6.95,53.0
2026-03-31,KOSDAQ,차바이오텍,085660,15924,17350,-19.9,18.3,56.6,74.0,47.58,95.4,117.15,67.6,-0.69,68.0
2026-03-31,KOSPI,씨에스윈드,112610,27622,59600,11.0,43.3,42.2,75.8,29.09,28.16,58.41,65.4,9.9,
2026-03-31,KOSPI,고려아연,010130,307458,1422000,-30.0,8.1,54.4,82.8,54.26,120.41,160.93,65.2,3.59,56.0
2026-03-31,KOSPI,LX인터내셔널,001120,19612,45250,6.2,39.2,41.6,79.6,31.08,33.33,69.05,65.0,11.82,
2026-03-31,KOSPI,LIG넥스원,079550,181940,611000,20.0,45.1,19.1,146.4,20.9,-0.78,105.24,64.9,35.35,245.0
2026-03-31,KOSDAQ,메지온,140410,25073,86600,-38.8,-3.9,33.2,157.7,57.05,117.69,321.13,64.5,-4.73,11.0
