기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-09,KOSPI,삼성SDI,006400,386810,480000,1003279,17.6,23.1,49.1,172.7,68.7,78,4.68,26.79,131.89
2026-04-09,KOSPI,NH투자증권,005940,119375,33500,1080617,13.2,23.8,64.6,118.2,68.4,105,9.36,45.41,92.76
2026-04-09,KOSPI,키움증권,039490,117166,447000,123999,8.9,0.8,50.5,226.3,66.7,81,-7.44,38.2,199.63
2026-04-09,KOSPI,HDC,012630,16160,27050,108433,-2.5,42.3,46.9,40.6,66.7,123,45.95,50.67,44.21
2026-04-09,KOSPI,SK텔레콤,017670,201473,93800,2478327,22.8,29.4,79.3,72.7,66.3,153,5.37,46.01,40.64
2026-04-09,KOSPI,일진전기,103590,36813,77200,204672,11.1,15.2,34.0,206.3,64.9,82,3.69,20.61,175.7
2026-04-09,KOSDAQ,서진시스템,178320,25798,43800,735241,3.1,14.8,61.3,115.2,64.0,64,11.35,56.45,108.73
2026-04-09,KOSPI,롯데에너지머티리얼즈,020150,23354,44600,155883,7.7,14.8,71.5,96.9,63.1,102,6.59,59.24,82.82
2026-04-09,KOSDAQ,에코프로,086520,202170,148900,1109507,6.7,-8.4,69.2,192.0,62.9,34,-14.15,58.58,173.66
2026-04-09,KOSPI,S-Oil,010950,134649,119600,844806,13.6,12.9,66.6,130.0,62.8,129,-0.62,46.65,102.46
2026-04-09,KOSDAQ,티씨케이,064760,27724,248000,70077,8.5,4.2,49.4,189.4,61.7,98,-3.96,37.7,166.73
2026-04-09,KOSPI,영원무역홀딩스,009970,30103,223000,17112,1.8,7.7,56.9,133.8,60.5,130,5.8,54.13,129.67
2026-04-09,KOSPI,HD현대,267250,201037,254500,139566,6.5,8.8,24.1,223.4,60.5,95,2.16,16.53,203.66
2026-04-09,KOSDAQ,심텍,222800,25542,68400,1312616,44.2,13.1,8.4,334.6,59.5,215,-21.57,-24.83,201.39
2026-04-09,KOSPI,LX인터내셔널,001120,18197,46950,203166,3.8,22.7,55.7,76.8,59.5,150,18.21,50.0,70.33
2026-04-09,KOSPI,두산에너빌리티,034020,640561,100000,2195437,8.9,10.4,12.7,245.4,59.3,94,1.38,3.49,217.17
2026-04-09,KOSDAQ,하림지주,003380,14907,13310,759362,-1.8,-7.7,80.1,122.6,59.3,97,-6.01,83.4,126.68
2026-04-09,KOSPI,현대차,005380,1002289,489500,988553,9.9,-2.1,68.8,156.8,59.1,56,-10.92,53.59,133.67
2026-04-09,KOSDAQ,유진로봇,056080,8852,23600,938470,-2.9,-31.4,76.0,222.8,58.9,39,-29.35,81.26,232.44
2026-04-09,KOSPI,SK오션플랜트,100090,16025,25650,1477260,-4.5,36.4,21.0,71.0,56.1,219,42.83,26.7,79.06
2026-04-09,KOSPI,더존비즈온,012510,36321,119500,22308,0.3,22.7,34.1,95.6,54.2,140,22.33,33.7,95.01
2026-04-09,KOSPI,한화솔루션,009830,68842,40050,1936277,7.8,44.8,30.9,33.9,54.2,116,34.32,21.43,24.21
2026-04-09,KOSPI,신영증권,001720,33619,204500,13974,10.9,15.8,41.1,129.0,53.6,109,4.42,27.23,106.49
2026-04-09,KOSPI,LS,006260,87360,280000,82855,9.4,22.3,34.0,113.7,52.9,113,11.79,22.49,95.34
2026-04-09,KOSDAQ,삼현,437730,14950,47150,168359,4.8,-29.6,50.9,265.2,52.4,88,-32.82,43.99,248.47
2026-04-09,KOSPI,이수스페셜티케미컬,457190,29402,97300,262214,9.0,-8.6,75.6,126.0,51.7,79,-16.15,61.1,107.34
2026-04-09,KOSDAQ,펄어비스,263750,36300,56500,1332217,-18.1,-1.2,63.3,59.4,51.6,72,20.63,99.39,94.63
2026-04-09,KOSPI,한국카본,017960,22683,43700,283686,12.5,29.1,19.4,124.2,51.6,135,14.76,6.13,99.29
2026-04-09,KOSDAQ,코오롱생명과학,102940,7461,57000,25577,0.7,-12.0,73.8,118.4,50.6,147,-12.61,72.59,116.88
