기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-15,NYSE,Bristol-Myers Squibb Co,BMY,0,57.89,8700289,-4.6,5.2,25.7,15.3,14.3,57.0,10.27,31.76,20.86
2026-04-15,NYSE,Bank of Montreal,BMO,0,149.49,312401,10.5,9.8,20.4,56.6,14.0,133.0,-0.63,8.96,41.72
2026-04-15,NASDAQ,Broadcom Inc,AVGO,0,396.72,29486791,28.2,19.7,7.3,106.1,13.9,210.0,-6.63,-16.3,60.76
2026-04-15,NASDAQ,Linde PLC,LIN,0,497.94,1552674,0.4,9.0,19.0,9.9,13.8,89.0,8.57,18.53,9.46
2026-04-15,NYSE,Sumitomo Mitsui Financial Group  Inc ADR,SMFG,0,21.52,1145366,9.0,2.5,32.2,51.5,13.7,107.0,-5.96,21.28,38.99
2026-04-15,NASDAQ,Telefonaktiebolaget LM Ericsson ADR,ERIC,0,11.87,11673071,5.3,9.9,17.6,44.1,13.5,51.0,4.37,11.68,36.85
2026-04-15,NYSE,HSBC Holdings PLC ADR,HSBC,0,90.93,1410050,10.2,3.3,29.8,62.1,13.2,100.0,-6.26,17.79,47.1
2026-04-15,NASDAQ,American Electric Power Company Inc,AEP,0,134.39,2175597,2.5,12.2,11.7,24.0,13.0,76.0,9.46,8.98,20.98
2026-04-15,NYSE,Williams Companies Inc,WMB,0,70.76,4453746,-2.8,5.2,22.3,20.8,12.8,62.0,8.23,25.82,24.28
2026-04-15,NASDAQ,Texas Instruments Inc,TXN,0,216.29,4165505,11.4,0.3,34.0,35.1,12.7,98.0,-9.96,20.29,21.27
2026-04-15,NYSE,Mizuho Financial Group Inc ADR,MFG,0,8.8,3530608,10.8,2.0,30.8,74.3,12.6,85.0,-7.94,18.05,57.31
2026-04-15,NASDAQ,Walmart Inc,WMT,0,124.76,16982735,0.4,4.7,23.3,28.3,12.6,74.0,4.28,22.81,27.79
2026-04-15,NASDAQ,Starbucks Corp,SBUX,0,98.34,5210148,9.8,6.9,21.6,22.8,12.5,119.0,-2.64,10.75,11.84
2026-04-15,NYSE,Anheuser-Busch Inbev SA ADR,BUD,0,75.27,1635367,8.5,5.0,23.6,14.4,12.1,88.0,-3.23,13.92,5.44
2026-04-15,NASDAQ,Credo Technology Group Holding Ltd,CRDO,0,168.35,10642665,79.3,34.4,-10.3,291.1,12.0,,-25.04,-49.97,118.13
2026-04-15,NYSE,Royal Bank of Canada,RY,0,175.95,564750,8.8,5.8,20.1,46.8,11.3,159.0,-2.76,10.39,34.93
2026-04-15,NYSE,Chubb Limited,CB,0,327.27,1541403,0.4,5.7,18.2,14.4,11.2,109.0,5.28,17.73,13.94
2026-04-15,NYSE,Parker-Hannifin Corp,PH,0,963.76,423275,7.7,3.0,24.7,59.3,11.2,110.0,-4.36,15.78,47.91
2026-04-15,NYSE,Chevron Corp,CVX,0,184.91,7173801,-10.6,4.5,17.2,35.9,11.1,24.0,16.89,31.1,52.01
2026-04-15,NYSE,Novartis AG ADR,NVS,0,152.08,1097265,-0.4,2.3,22.9,34.0,10.8,77.0,2.71,23.39,34.54
2026-04-15,NYSE,Enbridge Inc,ENB,0,52.61,3573844,-2.8,7.7,12.8,12.7,10.8,96.0,10.8,16.05,15.95
2026-04-15,NYSE,TJX Companies Inc,TJX,0,160.23,2327520,0.3,7.0,14.3,24.5,10.6,121.0,6.68,13.96,24.13
2026-04-15,NASDAQ,Northern Trust Corp,NTRS,0,156.07,660105,11.8,4.4,21.3,66.1,10.4,138.0,-6.62,8.5,48.57
