단축코드,액면가
086820,500
003960,5000
251370,500
024060,100
064850,500
025770,500
0008Z0,500
001460,500
054950,500
445090,500
334890,0
012210,1000
002320,5000
095500,500
035600,500
002900,2500
006805,5000
255220,100
078070,500
037710,1000
049070,500
003070,5000
000490,1000
425040,500
091580,500
232530,500
274090,500
0007C0,500
058430,5000
001250,2500
092220,500
200470,500
005680,500
004360,500
138610,500
034120,5000
000320,500
357550,500
226590,500
221800,500
044450,500
108670,5000
0088M0,500
001780,500
361390,500
272110,500
452280,500
377190,0
294570,500
194480,500
321550,500
003200,500
018310,500
241590,500
092730,500
216080,500
267980,500
418550,100
051370,500
000540,5000
304100,500
004310,500
000430,500
035510,500
02826K,100
309710,500
001790,500
380550,1000
064550,500
013120,500
084680,1000
182400,100
007160,5000
092460,500
043370,500
0030R0,0
058820,500
452430,100
459510,500
035150,500
054210,500
194700,500
003720,500
126600,500
053300,500
404990,0
464080,100
067080,500
332570,500
256840,100
121800,500
012860,500
117580,1000
176750,500
013890,500
000050,500
033920,200
108380,500
030210,5000
402490,500
462860,100
000680,5000
009470,1000
377460,500
244920,500
353810,100
254490,100
036800,500
098120,500
094820,500
000390,500
005710,500
017890,500
042600,500
005500,1000
061970,500
474170,500
405100,500
001130,5000
122900,500
206640,1000
484810,500
136490,500
034810,500
065680,500
298690,1000
371950,500
382900,500
211270,500
950170,0
372170,100
126700,500
264450,500
199430,100
144960,100
214180,500
134380,100
289930,500
083310,500
002150,500
123330,500
403850,100
036030,1000
092070,500
481070,100
950250,0
382800,500
028100,500
457550,500
210980,1000
190510,500
338220,100
112290,1000
000480,500
388050,500
001630,2500
013580,5000
234690,500
004980,5000
019010,500
402030,500
018470,500
009680,500
432320,0
004380,500
199820,500
003547,5000
036560,500
010955,2500
388790,100
010580,500
004430,500
104480,500
394420,500
003220,500
004560,5000
053210,2500
950140,0
051905,5000
039560,500
100120,500
095570,1000
078150,500
065710,500
051360,500
475230,500
095700,500
432720,500
285490,500
314130,500
226320,500
119610,500
025000,5000
456010,500
115310,500
219130,500
068930,500
356680,100
079960,500
039840,500
036190,500
003350,500
007570,2500
123860,500
237880,500
102260,1000
179290,500
061090,500
056090,500
007860,500
297090,500
121440,500
016880,500
000140,5000
339770,500
008970,1000
299030,500
484120,500
080160,500
