기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,NASDAQ,Diamondback Energy Inc,FANG,0,197.79,13.6,31.6,38.2,23.7,15.8,21.65,8.88,42.3,-1.78,
2026-03-31,NASDAQ,Telefonaktiebolaget LM Ericsson ADR,ERIC,0,11.27,-2.8,16.8,36.3,45.2,20.21,40.27,49.48,42.0,2.4,
2026-03-31,NYSE,Lockheed Martin Corp,LMT,0,604.39,-8.2,25.0,21.1,35.3,36.06,31.82,47.32,41.6,5.54,
2026-03-31,NYSE,Merck & Co Inc,MRK,0,120.29,-2.9,14.3,43.3,34.0,17.63,47.53,37.95,41.3,0.47,
2026-03-31,NASDAQ,GlobalFoundries Inc,GFS,0,44.48,-6.5,27.4,24.1,20.5,36.17,32.67,28.83,41.3,-1.96,
2026-03-31,NYSE,Johnson & Johnson,JNJ,0,244.44,-1.6,18.1,31.8,47.4,20.04,33.98,49.8,40.7,-1.42,
2026-03-31,NYSE,Howmet Aerospace Inc,HWM,0,230.46,-12.2,12.4,17.4,77.6,28.05,33.79,102.37,40.3,2.65,
2026-03-31,NYSE,EOG Resources Inc,EOG,0,144.57,16.5,37.7,28.9,12.7,18.16,10.67,-3.24,38.9,-1.05,
2026-03-31,NASDAQ,Vodafone Group PLC ADR,VOD,0,15.02,-2.2,13.7,29.5,60.3,16.28,32.41,63.93,38.9,0.8,
2026-03-31,NASDAQ,Equinix Inc,EQIX,0,980.24,0.6,27.9,25.2,20.2,27.16,24.39,19.49,38.7,3.66,
2026-03-31,NASDAQ,ON Semiconductor Corp,ON,0,61.92,-6.9,14.3,25.6,52.2,22.77,34.82,63.38,38.1,2.54,
2026-03-31,NYSE,Deere & Co,DE,0,563.3,-10.5,21.0,23.2,20.0,35.26,37.71,34.17,37.7,2.09,
2026-03-31,NYSE,Cummins Inc,CMI,0,538.02,-7.9,5.4,27.4,71.7,14.38,38.24,86.28,36.3,2.6,
2026-03-31,NYSE,Shell PLC ADR,SHEL,0,93.0,11.4,26.6,30.0,26.9,13.65,16.75,13.96,36.0,0.69,
2026-03-31,NYSE,GSK plc ADR,GSK,0,55.19,-6.7,12.5,27.9,42.5,20.58,37.0,52.63,35.8,2.14,
2026-03-31,NYSE,Johnson Controls International PLC,JCI,0,130.95,-9.3,9.4,19.1,63.5,20.5,31.24,80.13,34.4,2.14,
2026-03-31,NASDAQ,Arm Holdings PLC ADR,ARM,0,151.28,18.7,38.4,6.9,41.7,16.6,-9.92,19.35,33.2,-1.66,
2026-03-31,NASDAQ,Steel Dynamics Inc,STLD,0,180.0,-6.8,6.2,29.1,43.9,13.97,38.51,54.41,31.7,-1.93,
2026-03-31,NASDAQ,Gilead Sciences Inc,GILD,0,139.37,-6.4,13.5,25.6,24.4,21.35,34.19,32.93,31.7,0.55,
2026-03-31,NYSE,Northrop Grumman Corp,NOC,0,682.24,-5.8,19.6,12.0,33.2,27.04,18.88,41.48,31.3,1.99,
2026-03-31,NASDAQ,Flex Ltd,FLEX,0,65.46,3.9,8.3,12.9,97.9,4.3,8.71,90.51,30.8,3.42,
2026-03-31,NYSE,Nextera Energy Inc,NEE,0,92.88,-0.9,15.7,23.0,31.0,16.8,24.22,32.28,30.8,-0.16,
2026-03-31,NYSE,Novartis AG ADR,NVS,0,152.75,-9.4,10.8,19.1,37.0,22.3,31.49,51.26,30.3,0.06,
2026-03-31,NYSE,Mizuho Financial Group Inc ADR,MFG,0,7.94,-10.5,8.5,18.5,44.1,21.17,32.39,60.98,30.1,3.27,
2026-03-31,NYSE,Williams Companies Inc,WMB,0,72.78,-2.6,21.1,14.9,21.8,24.31,17.95,25.03,30.0,-0.26,
2026-03-31,NYSE,Canadian Imperial Bank of Commerce,CM,0,94.75,-6.2,4.6,18.6,68.3,11.42,26.37,79.33,29.7,2.55,
2026-03-31,NYSE,AstraZeneca PLC,AZN,0,197.22,-5.4,7.3,28.5,34.2,13.37,35.85,41.8,29.6,2.84,
2026-03-31,NASDAQ,Walmart Inc,WMT,0,124.28,-2.9,11.6,20.6,41.6,14.85,24.15,45.75,29.3,2.02,
2026-03-31,NYSE,Bristol-Myers Squibb Co,BMY,0,60.65,-2.8,12.4,34.5,-0.6,15.63,38.29,2.26,28.5,-2.18,
2026-03-31,NASDAQ,CSX Corp,CSX,0,41.05,-3.8,13.2,15.6,39.5,17.77,20.22,45.06,28.2,1.05,
2026-03-31,NASDAQ,Biogen Inc,BIIB,0,183.33,-4.4,4.2,30.9,34.0,8.99,36.94,40.18,27.8,-5.99,
2026-03-31,NYSE,Verizon Communications Inc,VZ,0,50.2,0.1,23.3,14.2,10.7,23.1,14.08,10.54,27.8,-2.09,
2026-03-31,NASDAQ,Advanced Micro Devices Inc,AMD,0,203.43,1.6,-5.0,25.7,98.0,-6.51,23.75,94.87,27.7,8.23,
2026-03-31,NASDAQ,Marriott International Inc,MAR,0,327.07,-4.3,5.4,25.6,37.3,10.15,31.21,43.46,26.7,3.34,
2026-03-31,NYSE,National Grid PLC ADR,NGG,0,84.6,-9.8,9.4,16.4,28.9,21.23,29.04,42.92,26.4,2.91,
2026-03-31,NYSE,HSBC Holdings PLC ADR,HSBC,0,82.49,-11.5,4.9,16.2,43.6,18.42,31.25,62.21,26.4,2.61,
2026-03-31,NASDAQ,Honeywell International Inc,HON,0,226.03,-7.2,15.9,13.9,13.3,24.86,22.78,22.05,25.9,0.96,
2026-03-31,NYSE,Parker-Hannifin Corp,PH,0,895.24,-11.3,1.9,18.1,47.3,14.82,33.11,66.02,25.6,1.88,
2026-03-31,NASDAQ,Amgen Inc,AMGN,0,351.85,-9.4,7.5,24.7,12.9,18.59,37.55,24.59,25.6,-2.64,
2026-03-31,NASDAQ,Symbotic Inc,SYM,0,53.2,-2.9,-10.6,-1.3,163.2,-7.93,1.63,171.05,25.0,0.19,
2026-03-31,NYSE,Enterprise Products Partners Units,EPD,0,37.84,4.7,18.0,21.0,10.8,12.73,15.57,5.86,24.7,-0.03,
2026-03-31,NYSE,Anheuser-Busch Inbev SA ADR,BUD,0,69.37,-14.3,8.3,16.4,12.7,26.41,35.8,31.5,24.5,4.56,
2026-03-31,NASDAQ,American Electric Power Company Inc,AEP,0,131.08,-2.0,13.7,16.5,20.0,16.05,18.95,22.47,24.2,0.98,
2026-03-31,NASDAQ,Alphabet Inc Class A,GOOGL,0,287.56,-7.8,-8.1,18.3,86.0,-0.4,28.24,101.6,23.7,4.32,
2026-03-31,NASDAQ,Regeneron Pharmaceuticals Inc,REGN,0,772.64,-1.2,0.1,37.4,21.8,1.27,39.02,23.25,23.7,-1.24,
2026-03-31,NASDAQ,Marvell Technology Inc,MRVL,0,99.05,21.3,16.6,17.8,60.9,-3.87,-2.83,32.68,23.7,10.56,
2026-03-31,NYSE,RTX Corp,RTX,0,192.9,-4.8,5.2,15.3,45.6,10.48,21.09,52.97,23.3,2.86,
2026-03-31,NASDAQ,Alphabet Inc Class C,GOOG,0,286.86,-7.9,-8.6,17.8,83.6,-0.76,27.87,99.34,22.7,3.76,
2026-03-31,NYSE,McKesson Corp,MCK,0,865.36,-12.4,5.5,12.0,28.6,20.37,27.81,46.71,22.3,-0.99,
2026-03-31,NYSE,Sumitomo Mitsui Financial Group  Inc ADR,SMFG,0,19.75,-12.0,2.2,18.0,27.7,16.09,34.05,45.15,22.3,3.49,
2026-03-31,NASDAQ,Ferrovial SE,FER,0,65.05,-12.5,0.7,11.0,44.8,15.12,26.93,65.58,21.3,1.75,
2026-03-31,NYSE,Amphenol Corp,APH,0,126.35,-13.5,-6.5,2.1,92.6,8.08,18.03,122.69,21.1,0.11,
