종목코드,종목명,시장구분,시가총액(억)
006910,보성파워텍,KOSDAQ,4927
001200,유진투자증권,KOSPI,4920
029460,케이씨,KOSPI,4884
013030,하이록코리아,KOSDAQ,4883
064820,케이프,KOSDAQ,4879
145990,삼양사,KOSPI,4837
0082N0,카나프테라퓨틱스,KOSDAQ,4831
036170,에이치엠넥스,KOSDAQ,4817
101930,인화정공,KOSDAQ,4801
098070,한텍,KOSDAQ,4770
042520,한스바이오메드,KOSDAQ,4770
034950,한국기업평가,KOSDAQ,4744
441270,파인엠텍,KOSDAQ,4732
378340,필에너지,KOSDAQ,4725
027410,BGF,KOSPI,4709
025770,한국정보통신,KOSDAQ,4703
192650,드림텍,KOSPI,4697
105630,한세실업,KOSPI,4684
357120,코람코라이프인프라리츠,KOSPI,4672
017810,풀무원,KOSPI,4662
080580,오킨스전자,KOSDAQ,4630
017860,DS단석,KOSPI,4615
145720,덴티움,KOSPI,4613
215200,메가스터디교육,KOSDAQ GLOBAL,4607
344820,KCC글라스,KOSPI,4591
091700,파트론,KOSDAQ GLOBAL,4576
180400,DXVX,KOSDAQ,4557
004700,조광피혁,KOSPI,4554
010690,화신,KOSPI,4522
089980,상아프론테크,KOSDAQ,4508
092870,엑시콘,KOSDAQ,4476
072710,농심홀딩스,KOSPI,4475
450950,아스테라시스,KOSDAQ,4470
000157,두산2우B,KOSPI,4451
078350,한양디지텍,KOSDAQ,4451
482630,삼양엔씨켐,KOSDAQ,4443
046970,우리로,KOSDAQ,4421
308430,셀비온,KOSDAQ,4420
025860,남해화학,KOSPI,4416
228760,지노믹트리,KOSDAQ,4410
455900,엔젤로보틱스,KOSDAQ,4406
042370,비츠로테크,KOSDAQ,4401
318060,그래피,KOSDAQ,4401
089590,제주항공,KOSPI,4386
170920,엘티씨,KOSDAQ,4384
069080,웹젠,KOSDAQ GLOBAL,4366
073490,LIG아큐버,KOSDAQ,4364
418550,제이오,KOSDAQ,4341
015360,INVENI,KOSPI,4338
117730,티로보틱스,KOSDAQ,4325
170900,동아에스티,KOSPI,4324
005610,SPC삼립,KOSPI,4305
376270,HEM파마,KOSDAQ,4304
241770,메카로,KOSDAQ,4296
179900,유티아이,KOSDAQ,4294
110990,디아이티,KOSDAQ,4290
015860,일진홀딩스,KOSPI,4273
016800,퍼시스,KOSPI,4272
183190,아세아시멘트,KOSPI,4271
478340,나라스페이스테크놀로지,KOSDAQ,4255
0001A0,덕양에너젠,KOSDAQ,4246
078020,LS증권,KOSDAQ,4244
234340,헥토파이낸셜,KOSDAQ,4240
494120,큐리오시스,KOSDAQ,4227
092790,넥스틸,KOSPI,4212
306200,세아제강,KOSPI,4211
0015G0,그린광학,KOSDAQ,4195
417310,코람코더원리츠,KOSPI,4173
220100,퓨쳐켐,KOSDAQ,4153
389500,에스비비테크,KOSDAQ,4152
114190,강원에너지,KOSDAQ,4135
097520,엠씨넥스,KOSPI,4124
091810,트리니티항공,KOSPI,4117
298830,슈어소프트테크,KOSDAQ,4116
078340,컴투스,KOSDAQ GLOBAL,4098
241520,DSC인베스트먼트,KOSDAQ,4091
126720,수산인더스트리,KOSPI,4085
018250,애경산업,KOSPI,4085
052710,아모텍,KOSDAQ,4084
389260,대명에너지,KOSDAQ,4075
079940,가비아,KOSDAQ,4073
009290,광동제약,KOSPI,4063
304360,에스바이오메딕스,KOSDAQ,4056
084850,아이티엠반도체,KOSDAQ GLOBAL,4044
011500,한농화성,KOSPI,4042
026890,스틱인베스트먼트,KOSPI,4021
091580,상신이디피,KOSDAQ,3991
086390,유니테스트,KOSDAQ,3985
330860,네패스아크,KOSDAQ,3984
041830,인바디,KOSDAQ,3976
900290,GRT,KOSDAQ,3961
094360,칩스앤미디어,KOSDAQ,3953
144510,지씨셀,KOSDAQ,3950
332570,PS일렉트로닉스,KOSDAQ,3946
011760,현대코퍼레이션,KOSPI,3935
084010,대한제강,KOSPI,3932
403550,쏘카,KOSPI,3927
356680,엑스게이트,KOSDAQ,3927
230240,에치에프알,KOSDAQ,3926
243840,신흥에스이씨,KOSDAQ,3921
001750,한양증권,KOSPI,3920
014940,오리엔탈정공,KOSDAQ,3919
217730,강스템바이오텍,KOSDAQ,3917
200880,서연이화,KOSPI,3916
200670,휴메딕스,KOSDAQ,3913
394800,쓰리빌리언,KOSDAQ,3906
001390,KG케미칼,KOSPI,3906
0008Z0,에스엔시스,KOSDAQ,3873
060980,HL홀딩스,KOSPI,3858
001940,KISCO홀딩스,KOSPI,3855
034830,한국토지신탁,KOSPI,3852
088800,에이스테크,KOSDAQ,3850
194370,제이에스코퍼레이션,KOSPI,3847
084990,헬릭스미스,KOSDAQ,3844
012030,DB,KOSPI,3840
036890,진성티이씨,KOSDAQ,3833
064290,인텍플러스,KOSDAQ,3833
402490,그린리소스,KOSDAQ,3823
041920,메디아나,KOSDAQ,3803
126560,현대퓨처넷,KOSPI,3802
352480,씨앤씨인터내셔널,KOSDAQ,3795
003800,에이스침대,KOSDAQ,3787
085910,네오티스,KOSDAQ,3783
419530,SAMG엔터,KOSDAQ,3766
236200,슈프리마,KOSDAQ,3766
053030,바이넥스,KOSDAQ,3758
203650,드림시큐리티,KOSDAQ,3758
108860,셀바스AI,KOSDAQ,3757
475400,씨메스로보틱스,KOSDAQ,3750
065660,안트로젠,KOSDAQ,3742
035890,서희건설,KOSDAQ,3729
005720,넥센,KOSPI,3721
058970,엠로,KOSDAQ,3721
092220,KEC,KOSPI,3700
101360,에코앤드림,KOSDAQ,3699
314930,바이오다인,KOSDAQ,3681
204620,글로벌텍스프리,KOSDAQ,3668
007690,국도화학,KOSPI,3662
104700,한국철강,KOSPI,3659
002810,삼영무역,KOSPI,3652
092230,KPX홀딩스,KOSPI,3650
389020,자람테크놀로지,KOSDAQ,3640
002310,아세아제지,KOSPI,3637
046120,오르비텍,KOSDAQ,3605
416180,신성에스티,KOSDAQ,3602
0088M0,메쥬,KOSDAQ,3601
035810,이지홀딩스,KOSDAQ,3600
452280,한선엔지니어링,KOSDAQ,3599
338840,와이바이오로직스,KOSDAQ,3559
084690,대상홀딩스,KOSPI,3548
