기준일,시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
2026-03-27,KOSPI,한화솔루션,009830,34250,23.9,22.5,20.8,59.3,35.5
2026-03-27,KOSDAQ,LS마린솔루션,060370,28000,-13.3,3.7,21.7,92.3,35.0
2026-03-27,KOSDAQ,나노신소재,121600,67700,-2.0,24.0,29.0,-4.8,33.1
2026-03-27,KOSPI,두산로보틱스,454910,82300,-27.9,6.2,31.7,30.4,32.5
2026-03-27,KOSPI,삼성중공업,010140,25450,-13.6,3.5,19.5,82.4,31.7
2026-03-27,KOSDAQ,오스코텍,039200,54000,-2.9,-12.9,46.9,84.6,30.6
2026-03-27,KOSPI,기업은행,024110,23250,5.0,13.1,22.2,49.1,30.5
2026-03-27,KOSDAQ,덕산네오룩스,213420,51800,32.7,23.0,9.5,67.9,30.2
2026-03-27,KOSPI,현대로템,064350,180600,-21.6,2.8,-6.0,130.9,29.8
2026-03-27,KOSPI,롯데케미칼,011170,80600,-3.4,11.6,26.9,29.2,29.3
2026-03-27,KOSPI,한국타이어앤테크놀로지,161390,57400,-9.6,-6.7,43.0,51.5,28.4
2026-03-27,KOSPI,한화오션,042660,120200,-13.2,11.5,7.3,61.8,27.9
2026-03-27,KOSPI,한화엔진,082740,45600,-16.2,8.1,-4.0,101.3,27.9
2026-03-27,KOSPI,영원무역,111770,80200,-11.8,-8.3,36.6,68.3,27.7
2026-03-27,KOSPI,KT,030200,60500,6.3,20.0,11.8,28.7,26.4
2026-03-27,KOSDAQ,동국제약,086450,20850,11.0,11.4,22.9,34.1,25.2
2026-03-27,KOSPI,KT&G,033780,155900,1.3,7.1,15.7,58.6,25.0
2026-03-27,KOSDAQ,성광벤드,014620,33275,1.9,27.0,-0.5,19.7,24.9
2026-03-27,KOSPI,셀트리온,068270,206500,-1.7,11.3,23.2,16.5,24.2
2026-03-27,KOSPI,한전KPS,051600,58600,4.6,9.9,16.5,39.7,23.2
2026-03-27,KOSPI,에스원,012750,86500,8.7,15.3,8.0,41.8,22.9
2026-03-27,KOSPI,POSCO홀딩스,005490,338500,-2.6,9.4,18.6,24.2,22.1
2026-03-27,KOSPI,LG,003550,85900,-6.3,9.0,15.3,29.2,22.0
2026-03-27,KOSPI,아모레퍼시픽,090430,138900,0.1,11.7,15.5,18.5,20.8
2026-03-27,KOSPI,엔씨소프트,036570,228000,-2.8,8.6,12.3,34.0,20.4
2026-03-27,KOSPI,한국전력,015760,43050,-26.2,-18.0,18.4,101.6,20.4
2026-03-27,KOSPI,삼성에피스홀딩스,0126Z0,522000,-13.9,21.7,0.0,0.0,20.1
2026-03-27,KOSPI,롯데지주,004990,30500,-2.9,11.1,4.5,39.6,19.6
2026-03-27,KOSPI,한진칼,180640,115300,2.1,12.6,3.1,38.7,19.0
2026-03-27,KOSDAQ,HLB,028300,51300,-7.6,9.4,35.9,-42.6,18.5
2026-03-27,KOSPI,LG유플러스,032640,15820,-1.1,5.0,6.5,49.5,17.4
