기준일(월말),시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,다음달수익률(%)
2026-03-27,NYSE,Pfizer Inc,PFE,27.57,1.73,9.88,16.04,9.36,17.45,
2026-03-27,NASDAQ,Linde PLC,LIN,495.49,-0.61,16.65,4.44,7.38,17.14,
2026-03-27,NYSE,HSBC Holdings PLC ADR,HSBC,79.63,-15.74,-0.43,14.05,36.47,17.13,
2026-03-27,NASDAQ,Symbotic Inc,SYM,50.8,-11.53,-12.4,-2.57,129.35,16.97,
2026-03-27,NYSE,Anheuser-Busch Inbev SA ADR,BUD,67.94,-14.52,5.76,14.88,9.81,16.91,
2026-03-27,NYSE,Motorola Solutions Inc,MSI,450.01,-4.65,19.35,-1.43,4.35,16.57,
2026-03-27,NYSE,Welltower Inc,WELL,195.53,-6.2,4.08,11.8,30.48,16.5,
2026-03-27,NYSE,British American Tobacco plc ADR,BTI,58.26,-7.04,1.73,9.92,42.72,16.3,
2026-03-27,NASDAQ,Exelon Corp,EXC,48.4,-0.82,11.11,9.78,9.95,15.93,
2026-03-27,NYSE,Coca-Cola Co,KO,74.69,-7.22,6.9,13.74,6.67,15.16,
2026-03-27,NASDAQ,CME Group Inc,CME,297.58,-5.96,7.53,10.1,13.27,14.92,
2026-03-27,NYSE,AT&T Inc,T,28.92,5.32,17.32,2.15,4.59,14.79,
2026-03-27,NASDAQ,Paccar Inc,PCAR,115.33,-7.05,3.17,14.76,15.87,14.5,
2026-03-27,NASDAQ,Costco Wholesale Corp,COST,979.65,-0.72,12.17,6.95,5.37,14.43,
2026-03-27,NASDAQ,Alphabet Inc Class A,GOOGL,280.92,-8.61,-10.4,13.95,70.19,14.42,
2026-03-27,NASDAQ,Ferrovial SE,FER,62.89,-15.09,-3.57,11.21,40.47,13.86,
2026-03-27,NYSE,Sumitomo Mitsui Financial Group  Inc ADR,SMFG,19.39,-15.11,-0.56,13.79,20.89,13.64,
2026-03-27,NYSE,Eaton Corporation PLC,ETN,357.1,-4.67,10.84,-2.32,25.07,13.46,
2026-03-27,NASDAQ,Alphabet Inc Class C,GOOG,280.74,-8.6,-10.86,13.58,67.97,13.41,
2026-03-27,NYSE,Chubb Ltd,CB,324.31,-4.03,3.46,15.54,9.82,13.31,
2026-03-27,NYSE,Duke Energy Corp,DUK,129.38,0.12,10.41,5.17,10.48,12.99,
2026-03-27,NYSE,General Dynamics Corp,GD,355.28,1.3,3.82,7.55,31.79,12.93,
2026-03-27,NASDAQ,Interactive Brokers Group Inc,IBKR,66.2,-11.21,0.06,0.12,52.24,12.8,
2026-03-27,NYSE,Altria Group Inc,MO,64.62,-6.98,12.19,-1.66,11.9,12.7,
2026-03-27,NASDAQ,Texas Instruments Inc,TXN,193.41,-9.04,9.35,4.8,4.83,12.65,
2026-03-27,NYSE,Prologis Inc,PLD,129.74,-9.06,0.8,13.62,16.75,12.61,
2026-03-27,NYSE,Cloudflare Inc,NET,210.13,20.31,3.82,-2.87,73.45,12.25,
2026-03-27,NYSE,TJX Companies Inc,TJX,157.57,-0.71,0.29,10.12,31.64,11.76,
2026-03-27,NYSE,Amphenol Corp,APH,123.13,-17.07,-10.41,0.43,82.2,11.75,
2026-03-27,NYSE,Mitsubishi UFJ Financial Group Inc ADR,MUFG,16.62,-12.3,4.59,3.62,15.66,11.07,
2026-03-27,NYSE,Bank of New York Mellon Corp,BK,116.65,-4.08,-0.7,6.5,37.09,10.93,
2026-03-27,NYSE,Bank of Montreal,BMO,132.35,-11.08,1.08,1.32,35.63,10.86,
2026-03-27,NASDAQ,Starbucks Corp,SBUX,91.22,-6.99,7.22,9.39,-6.89,10.49,
2026-03-27,NYSE,Citigroup Inc,C,112.41,-3.25,-6.65,8.69,53.48,10.37,
2026-03-27,NASDAQ,eBay Inc,EBAY,89.43,1.74,4.95,-1.88,36.37,9.95,
2026-03-27,NASDAQ,PepsiCo Inc,PEP,150.83,-10.0,4.9,7.4,1.47,9.92,
2026-03-27,NYSE,Southern Co,SO,95.42,-0.97,9.46,0.94,7.14,9.66,
2026-03-27,NYSE,Banco Santander SA ADR,SAN,10.77,-16.77,-8.81,3.76,55.86,9.36,
2026-03-27,NASDAQ,Insmed Inc,INSM,147.6,-1.6,-17.02,7.71,92.76,9.11,
2026-03-27,NASDAQ,Northern Trust Corp,NTRS,137.98,-6.51,-1.54,3.5,36.02,9.03,
2026-03-27,NASDAQ,Electronic Arts Inc,EA,201.91,0.42,-1.41,4.43,39.07,8.82,
2026-03-27,NYSE,Banco Bilbao Vizcaya Argentaria SA ADR,BBVA,20.92,-11.58,-9.63,8.68,47.12,8.37,
2026-03-27,NYSE,Royal Bank of Canada,RY,160.19,-5.68,-6.6,9.64,37.77,8.23,
2026-03-27,NASDAQ,Monster Beverage Corp,MNST,71.98,-16.94,-6.89,10.16,24.62,7.88,
2026-03-27,NYSE,Bank of Nova Scotia,BNS,68.57,-10.68,-7.55,6.49,40.69,7.48,
2026-03-27,NASDAQ,Coca-Cola Europacific Partners PLC,CCEP,92.79,-14.36,1.2,3.65,8.69,7.4,
2026-03-27,NYSE,Trane Technologies PLC,TT,407.13,-10.94,3.7,-1.95,15.64,7.3,
2026-03-27,NASDAQ,Tradeweb Markets Inc,TW,117.64,-3.54,9.13,6.0,-19.07,7.2,
2026-03-27,NASDAQ,Xcel Energy Inc,XEL,77.93,-6.64,4.72,-1.7,13.07,6.86,
2026-03-27,NASDAQ,Fastenal Co,FAST,45.11,-1.25,8.54,-7.37,17.03,6.8,
2026-03-27,NYSE,United Parcel Service Inc,UPS,97.5,-16.4,-3.02,16.46,-12.17,6.66,
2026-03-27,NASDAQ,Vertex Pharmaceuticals Inc,VRTX,453.74,-5.5,-1.98,17.63,-9.3,6.47,
2026-03-27,NASDAQ,Microchip Technology Inc,MCHP,64.2,-14.37,-1.14,-0.34,23.06,6.4,
2026-03-27,NYSE,Toyota Motor Corp ADR,TM,209.93,-13.47,-3.09,5.97,10.91,5.39,
2026-03-27,NASDAQ,Natera Inc,NTRA,196.15,-9.23,-16.08,20.36,30.91,5.34,
2026-03-27,NYSE,Illinois Tool Works Inc,ITW,261.37,-9.96,3.53,0.13,2.14,5.31,
2026-03-27,NYSE,Union Pacific Corp,UNP,239.19,-9.89,2.46,1.7,0.49,4.89,
2026-03-27,NYSE,Goldman Sachs Group Inc,GS,822.64,-11.45,-9.3,2.51,43.34,4.77,
2026-03-27,NYSE,Waste Management Inc,WM,226.51,-3.16,2.45,3.58,-1.06,4.17,
2026-03-27,NYSE,Philip Morris International Inc,PM,162.49,-13.34,0.89,-1.46,5.29,3.71,
2026-03-27,NASDAQ,Expand Energy Corp,EXE,111.05,4.48,1.42,4.99,1.01,2.94,
2026-03-27,NYSE,US Bancorp,USB,51.59,-9.9,-6.18,4.35,17.87,2.78,
2026-03-27,NYSE,Eli Lilly and Co,LLY,897.0,-12.23,-16.77,23.8,8.5,2.63,
2026-03-27,NYSE,PNC Financial Services Group Inc,PNC,205.46,-7.79,-3.94,1.05,16.13,2.16,
2026-03-27,NYSE,Ecolab Inc,ECL,264.25,-13.86,-0.56,-2.49,4.7,2.01,
