시장,종목명,종목코드,기준일(월말),기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
KOSPI,S-Oil,010950,2026-02-28,110000,3.87,43.42,82.42,93.32,93.83
KOSDAQ,LS머트리얼즈,417200,2026-02-28,17580,1.44,50.77,77.94,55.03,90.3
KOSPI,한화생명,088350,2026-02-28,4955,42.18,64.62,58.05,88.76,90.04
KOSPI,한올바이오파마,009420,2026-02-28,61700,19.81,31.84,106.7,74.79,89.82
KOSDAQ,NHN KCP,060250,2026-02-28,21400,-6.14,31.29,57.82,159.08,86.98
KOSPI,OCI홀딩스,010060,2026-02-28,152000,31.72,46.01,73.71,90.95,85.52
KOSPI,LG이노텍,011070,2026-02-28,319000,30.2,34.6,88.65,96.43,85.25
KOSDAQ,티엘비,356860,2026-02-28,60600,1.51,-8.87,98.69,214.97,84.94
KOSDAQ,제룡전기,033100,2026-02-28,55800,14.23,59.43,61.27,45.12,84.36
KOSPI,이수페타시스,007660,2026-02-28,127600,8.6,-11.39,91.59,238.91,82.75
KOSDAQ,이엔에프테크놀로지,102710,2026-02-28,58400,-0.85,30.65,52.48,158.98,82.73
KOSPI,HD건설기계,267270,2026-02-28,140700,30.04,50.0,60.98,87.6,82.0
KOSPI,롯데쇼핑,023530,2026-02-28,107700,28.21,50.63,62.93,70.68,80.46
KOSPI,두산로보틱스,454910,2026-02-28,106500,-6.66,37.42,70.4,68.78,80.22
KOSDAQ,코미팜,041960,2026-02-28,8990,26.09,44.3,50.59,120.88,79.69
KOSPI,삼성증권,016360,2026-02-28,106800,17.88,35.53,55.23,134.21,79.31
KOSDAQ,에코프로에이치엔,383310,2026-02-28,38150,-7.96,52.3,54.45,32.93,77.24
KOSDAQ,HLB이노베이션,024850,2026-02-28,2640,4.35,55.84,68.91,-6.22,77.02
KOSDAQ,아이쓰리시스템,214430,2026-02-28,105500,-18.85,56.3,21.4,84.12,76.33
KOSPI,한국전력,015760,2026-02-28,58500,0.34,11.43,60.94,174.0,74.34
KOSPI,현대로템,064350,2026-02-28,230500,0.0,31.19,19.99,194.76,73.9
KOSDAQ,코나아이,052400,2026-02-28,66800,8.62,36.47,31.76,146.49,72.63
KOSPI,한화에어로스페이스,012450,2026-02-28,1195000,-8.08,40.26,35.18,104.3,72.27
KOSPI,한진칼,180640,2026-02-28,156300,38.44,52.64,39.8,88.09,71.94
KOSPI,DB손해보험,005830,2026-02-28,183100,28.4,47.07,38.82,100.33,71.45
KOSPI,한국타이어앤테크놀로지,161390,2026-02-28,72900,14.8,18.54,81.57,92.35,71.12
KOSDAQ,비츠로셀,082920,2026-02-28,21150,0.71,39.7,48.88,75.0,71.05
KOSPI,현대제철,004020,2026-02-28,46500,48.8,53.97,44.86,74.48,70.75
KOSPI,우리금융지주,316140,2026-02-28,36000,19.01,35.59,45.16,117.13,70.68
KOSDAQ,케이엠더블유,032500,2026-02-28,18700,-1.16,23.76,50.2,129.45,70.23
KOSPI,SK텔레콤,017670,2026-02-28,79800,10.07,49.16,47.23,42.5,69.43
KOSDAQ,LS마린솔루션,060370,2026-02-28,33500,3.72,24.07,45.65,130.08,67.36
KOSPI,삼성E&A,028050,2026-02-28,36400,18.18,42.47,25.09,122.22,67.32
KOSDAQ,가온칩스,399720,2026-02-28,69600,-4.13,38.92,51.14,48.24,67.18
KOSPI,포스코퓨처엠,003670,2026-02-28,247000,10.51,19.61,74.81,80.34,67.06
KOSPI,산일전기,062040,2026-02-28,166700,13.02,16.25,49.11,157.65,66.48
KOSPI,하나금융지주,086790,2026-02-28,121800,21.68,30.55,48.18,104.71,65.13
KOSDAQ,태웅,044490,2026-02-28,35500,15.82,49.16,-5.59,156.5,64.67
KOSDAQ,필옵틱스,161580,2026-02-28,52600,-4.71,24.2,72.46,38.42,64.22
KOSDAQ,큐로셀,372320,2026-02-28,54400,10.57,32.68,46.24,82.55,63.66
KOSPI,신한지주,055550,2026-02-28,96900,14.95,24.23,48.39,111.34,62.86
KOSPI,KB금융,105560,2026-02-28,159000,17.6,27.4,46.95,103.07,62.49
KOSDAQ,성우하이텍,015750,2026-02-28,8880,11.42,30.97,47.26,75.49,61.23
KOSPI,GS,078930,2026-02-28,68700,0.0,21.81,50.99,90.57,61.06
KOSPI,LG,003550,2026-02-28,107700,17.45,36.68,44.56,61.95,60.52
KOSPI,영원무역,111770,2026-02-28,96900,6.6,10.74,65.08,103.36,60.48
KOSPI,CJ,001040,2026-02-28,218500,0.46,24.08,36.65,112.34,59.96
KOSPI,롯데케미칼,011170,2026-02-28,95900,14.99,32.83,51.02,53.69,59.51
KOSPI,포스코인터내셔널,047050,2026-02-28,72200,15.71,34.7,50.42,39.11,57.65
KOSPI,엘앤에프,066970,2026-02-28,125700,-0.48,0.4,90.45,59.32,57.5
KOSPI,한화엔진,082740,2026-02-28,54000,-0.74,27.96,13.68,138.41,57.04
KOSPI,BNK금융지주,138930,2026-02-28,19930,19.99,32.43,38.4,78.58,56.86
KOSPI,iM금융지주,139130,2026-02-28,18390,18.65,28.6,34.14,98.6,55.94
KOSPI,POSCO홀딩스,005490,2026-02-28,413000,18.85,33.44,44.66,51.56,55.62
KOSPI,한화오션,042660,2026-02-28,141200,1.95,30.98,26.07,90.04,55.44
KOSPI,이마트,139480,2026-02-28,105000,15.38,34.27,46.85,37.98,55.36
KOSPI,더존비즈온,012510,2026-02-28,118400,21.56,27.04,48.74,67.94,55.28
KOSPI,JB금융지주,175330,2026-02-28,31750,26.24,31.74,35.11,84.16,54.53
KOSPI,삼성중공업,010140,2026-02-28,28950,-1.7,17.68,35.92,107.53,53.95
KOSDAQ,코스메카코리아,241710,2026-02-28,84500,-12.34,11.92,35.63,110.72,51.97
KOSPI,카카오페이,377300,2026-02-28,66900,5.52,34.88,11.87,95.33,51.8
KOSPI,금호석유화학,011780,2026-02-28,153400,6.45,31.22,39.96,39.84,51.64
KOSPI,하이브,352820,2026-02-28,387500,3.61,29.38,35.02,50.49,50.39
KOSPI,셀트리온,068270,2026-02-28,238500,13.57,28.5,42.3,34.57,48.15
KOSPI,기업은행,024110,2026-02-28,25750,16.25,25.3,35.38,65.17,47.72
KOSDAQ,휴온스글로벌,084110,2026-02-28,63200,24.41,15.75,40.44,92.68,46.48
KOSPI,롯데지주,004990,2026-02-28,35750,13.85,30.24,22.43,63.62,45.36
KOSDAQ,대주전자재료,078600,2026-02-28,100700,32.85,36.82,45.31,-3.27,44.89
KOSPI,LIG넥스원,079550,2026-02-28,509000,5.71,32.9,3.98,88.17,44.8
KOSPI,LG화학,051910,2026-02-28,417500,34.46,11.63,50.45,78.04,43.25
KOSDAQ,셀트리온제약,068760,2026-02-28,71800,-1.78,18.29,41.63,34.84,42.77
KOSDAQ,나노신소재,121600,2026-02-28,71400,3.33,30.77,36.0,0.42,42.03
KOSDAQ,동운아나텍,094170,2026-02-28,29300,-3.3,-2.33,63.6,47.38,40.07
KOSPI,현대엘리베이터,017800,2026-02-28,98700,4.56,13.71,25.89,79.45,38.89
KOSPI,HD현대중공업,329180,2026-02-28,603000,4.87,12.71,15.96,103.72,37.92
KOSPI,삼성에스디에스,018260,2026-02-28,195000,12.65,15.73,32.38,58.15,37.87
KOSPI,LG씨엔에스,064400,2026-02-28,74500,6.89,28.45,9.56,54.08,36.98
KOSPI,오리온,271560,2026-02-28,133400,13.53,26.45,23.75,30.91,36.51
KOSPI,에코프로머티,450080,2026-02-28,71900,6.52,23.97,42.38,-17.17,35.62
KOSPI,KT,030200,2026-02-28,63800,12.13,26.59,17.93,35.74,34.96
KOSPI,아모레퍼시픽,090430,2026-02-28,151400,9.08,21.8,25.85,29.18,34.39
KOSPI,HD한국조선해양,009540,2026-02-28,450000,8.83,9.76,10.7,110.28,33.45
